PARENT_UI_ELEMENT,TARGET_UI_ELEMENT,COMPONENT_NAME,UI_EVENT_SOURCE,ConcatComponentEvent,Event,Event Label,Description,Rank
actions-dropdown,action-dropdown-item__menu-item,1:ChoosePricebook,click,actions-dropdown - action-dropdown-item__menu-item - 1:ChoosePricebook - click,Click,Pricbook Selection,The user has clicked the 'Choose Pricebook' dropdown from the Products related list on the Opportunity.,0
choosePricebook_modal,saveChoosePricebook__button,,click,choosePricebook_modal - saveChoosePricebook__button -  - click,Click,Pricebook Confirmation,The user has confirmed what pricebook is selected.,0
actions-dropdown,actions-dropdown-item__menu-item,0:MultiAdd,click,actions-dropdown - actions-dropdown-item__menu-item - 0:MultiAdd - click,Click,Add Products,A user selected the Add Product drop-down menu item,0
actions-dropdown,action-dropdown-item__menu-item,0:OppContactRoleMultiAdd,click,actions-dropdown - action-dropdown-item__menu-item - 0:OppContactRoleMultiAdd - click,Click,Add Contact Roles,A user has selected the Add Contact Roles dropdown menu on the related list.,0
modal,action__button,ContactRoleMultiEditNextButton,click,modal - action__button - ContactRoleMultiEditNextButton - click,Click,Add Contact Roles - Next,A user is progressing through adding Contact Roles.,0
inline-edit-grid,inline-edit-cell-trigger__button,,click,inline-edit-grid - inline-edit-cell-trigger__button -  - click,Click,Inline Edit Multiline Grid,"A user has edited some value in a multi-line edit window, in a modal or list view.",0
modal,action__button,ContactRoleMultiEditSaveButton,click,modal - action__button - ContactRoleMultiEditSaveButton - click,Click,Add Contact Roles - Save,A user has successfully added Contact Roles,0
tab-bar,tab-bar-content__tab,SendEmail,click,tab-bar - tab-bar-content__tab - SendEmail - click,Click,Send Email Tab,A user has clicked on the 'Send Email' tab at the top of a record's feed.,0
publisher-quick-action,publisher-quick-action__button,SendEmail,click,publisher-quick-action - publisher-quick-action__button - SendEmail - click,Click,Send Email Button,A user has clicked on the 'Send' button in the email composer.,0
tab-bar,tab-bar-content__tab,newsTab,click,tab-bar - tab-bar-content__tab - newsTab - click,Click,News Insights,A user has clicked on the News tab at the top of a record feed.,0
lead-convert-modal-action,submitConvert__button,,click,lead-convert-modal-action - submitConvert__button -  - click,Click,Lead Convert,A user has clicked Convert at the bottom of the Lead conversion page.,0
tab-bar,tab-bar-content__tab,LogACall,click,tab-bar - tab-bar-content__tab - LogACall - click,Click,Log a Call - In Publisher,User clicks on the Log a Call action while in the Activity tab.,0
tab-bar,tab-bar-content__tab,NewTask,click,tab-bar - tab-bar-content__tab - NewTask - click,Click,New Task - In Publisher,User opens the New Task action from the top of the record feed.,0
publisher-quick-action,publisher-quick-action__button,NewTask,click,publisher-quick-action - publisher-quick-action__button - NewTask - click,Click,New Task - Save,User clicks the Save button on the New Task action component.,0
actions-dropdown,action-dropdown-item__menu-item,8:Task.UpdateStatus_1,click,actions-dropdown - action-dropdown-item__menu-item - 8:Task.UpdateStatus_1 - click,Click,Task Status - Activity Dropdown,A user has changed the Tasks' status via the drop-down menu in the Activity feed.,0
modal,action-modal__button,,click,modal - action-modal__button -  - click,Click,Generic Modal Action,A user has completed some activity on a modal pop-up window.,0
tab-bar,tab-bar-content__tab,NewEvent,click,tab-bar - tab-bar-content__tab - NewEvent - click,Click,New Event - In Publisher,A user has clicked the New Event action while in the Activity tab.,0
publisher-quick-action,publisher-quick-action__button,NewEvent,click,publisher-quick-action - publisher-quick-action__button - NewEvent - click,Click,New Event - Save,A user has clicked Save on the New Event action while in the Activity tab.,0
activity-timelinefixed,activityTimelineCall,,click,activity-timelinefixed - activityTimelineCall -  - click,Click,Call Detail - Timeline,The user has clicked on a Call to view details from the Activity timeline.,0
actions-dropdown,action-dropdown-item__menu-item,0:MultiAdd,click,actions-dropdown - action-dropdown-item__menu-item - 0:MultiAdd - click,Click,Add Products,A user selected the Add Product drop-down menu item,0
modal,action__button,OLIMultiAddNextButton,click,modal - action__button - OLIMultiAddNextButton - click,Click,Add Products - Next,A user has selected a product and clicked Next to edit OLI details.,0
modal,action__button,OLIMultiEditSaveButton,click,modal - action__button - OLIMultiEditSaveButton - click,Click,Add Products - Save,A user has clicked Save to confirm OLI addition.,0
list-view-footer,save__button,,click,list-view-footer - save__button -  - click,Click,List View - Save,A user has saved one or more records after editing them in a List View.,0
handleGridAction,listViewManagerGrid,selectAll,click,handleGridAction - listViewManagerGrid - selectAll - click,Click,List View - Select All,A user has clicked on the header checkbox in a List View to select all records to apply an action.,0
force_quickActionRecord,quickAction,,quickAction,force_quickActionRecord - quickAction -  - quickAction,Click,Quick Action - Complete,"A user has completed a Quick Action, in a list view or possibly a record detail.",0
action-ribbon-container,"action-link
",PrintableListView,click,"action-ribbon-container - action-link
 - PrintableListView - click",Click,Printable List View,A user is viewing the Printable List View,0
listview-settings-menu,menu-trigger,,click,listview-settings-menu - menu-trigger -  - click,Click,List View - Settings,A user has opened the controls of the List View,0
listview-switcher-dropdown-trigger,menu-trigger,,click,listview-switcher-dropdown-trigger - menu-trigger -  - click,Click,List View - Switcher,A user has opened the option to change the Display Type of the List View,0
pipeline-card,pipeline-view,,synthetic-dragdrop,pipeline-card - pipeline-view -  - synthetic-dragdrop,Click,Kanban - Drag,A user is edited a recod via drag-and-drop in Kanban view,0
menu-item,menu-item,additionalMenuOption_0,click,menu-item - menu-item - additionalMenuOption_0 - click,Click,List View - Options,The user is selecting options for a List View,0
tab-bar,tab-bar-content__tab,customTab2,click,tab-bar - tab-bar-content__tab - customTab2 - click,Click,,,
tab-bar,tab-bar-content__tab,customTab3,click,tab-bar - tab-bar-content__tab - customTab3 - click,Click,,,
tab-bar,tab-bar-content__tab,customTab4,click,tab-bar - tab-bar-content__tab - customTab4 - click,Click,,,
tab-bar,tab-bar-content__tab,activityTab,click,tab-bar - tab-bar-content__tab - activityTab - click,Click,Activity Tab,,
tab-bar,tab-bar-content__tab,retailOrderTab,click,tab-bar - tab-bar-content__tab - retailOrderTab - click,Click,Orders Tab,,
tab-bar,tab-bar-content__tab,customTab,click,tab-bar - tab-bar-content__tab - customTab - click,Click,,,
one-consoleLayoutContainer,one-changeSplitViewMode-fired,,synthetic-change-split-view-mode,one-consoleLayoutContainer - one-changeSplitViewMode-fired -  - synthetic-change-split-view-mode,Click,Console Sidebar,A user has clicked on the expand / collapse sidebar in a console view.,
one-consoleNav,one-appNavMenu-opened,,synthetic-click,one-consoleNav - one-appNavMenu-opened -  - synthetic-click,Click,Console Nav Menu Open,A user opens the console object menu drop-down.,
one-consoleNav,"one-appNavMenu-selection
",,synthetic-click,"one-consoleNav - one-appNavMenu-selection
 -  - synthetic-click",Click,Console Nav Menu Select,A user selects an object in the console nav menu.,
lightning-grouped-combobox,force-combobox,,synthetic-click,lightning-grouped-combobox - force-combobox -  - synthetic-click,Click,Field Input Prompt,"The user has interacted with a small prompt on a field input, such as 'recently used' or a date picker.",
activity-timelinefixed,activityTimelineTask,,synthetic-click,activity-timelinefixed - activityTimelineTask -  - synthetic-click,Click,Task Detail - Timeline,The user has clicked on a Task to view details from the Activity timeline.,
activity-timelinefixed,navigateToRecord,,click,activity-timelinefixed - navigateToRecord -  - click,Click,Navigate to record,A user has clicked on any link to navigate to a record.,
loadPastActivities,activityTimeline,,synthetic-click,loadPastActivities - activityTimeline -  - synthetic-click,Load,Show Activity Timeline,The activity timeline was rendered on the page.,
